title,coffee_type,rating,reviews,price_per_kg
"gloria jean's butter toffee, keurig single-serve k-cup pods, medium roast coffee, 24 count",medium roast,4.3,1872,21.92827748383304
"maxwell house international french vanilla sugar free decaf instant coffee, decaffeinated, 4 oz. canister","french,instant coffee",4.6,379,7.348618459729571
"starbucks cinnamon dolce flavored coffee, k-cup coffee pods, naturally flavored, 22 ct",,4.7,780,25.204425204425203
"dunkin’ pumpkin spice ground coffee, limited edition fall coffee, 11 oz. bag",,4.4,232,0.0
"caribou coffee, mahogany, dark roast ground coffee, 20 oz bag",dark roast,4.8,65,0.0
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,14.632614611680971
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,16.10738255033557
"community coffee coffee and chicory medium roast ground coffee, 32 oz, bag",medium roast,4.9,955,34.9647266313933
"green mountain coffee breakfast blend k-cup pods, light roast, 24 count for keurig brewers",light roast,4.6,2789,21.92827748383304
melitta medium roast coffee pods for senseo &amp; hamilton beach pod brewers 18 ct bag,medium roast,4.7,260,9.758965314520871
"green mountain coffee nantucket blend k-cup pods, medium roast, 24 count for keurig brewers",medium roast,4.5,1749,21.92827748383304
"tim hortons ground coffee, 100% arabica medium roast, 32.8 oz canister","arabica,medium roast",4.8,487,0.0
"mccafe decaf premium roast coffee k-cup coffee pods, medium roast, 24 count for keurig brewers",medium roast,4.7,956,21.92827748383304
"starbucks breakfast blend, medium roast k-cup coffee pods, 100% arabica, 22 ct​","arabica,medium roast",4.6,1107,0.0
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,12.183807439824944
"dunkin’ original blend coffee, medium roast coffee, 12 oz bag",medium roast,4.8,495,0.0
"folgers 100% colombian coffee, medium roast ground coffee, 33.7 ounce canister","colombian,medium roast",3.5,8,14.632614611680971
"great value 100% arabica colombian medium dark roast ground coffee pods, 12 ct","colombian,arabica,medium dark,medium dark roast,dark roast",4.6,2097,0.0
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,8.233048385758154
"great value 100% arabica breakfast blend medium roast ground coffee pods, 12 ct","arabica,medium roast",4.6,1838,0.0
"great value 100% arabica french dark roast ground coffee pods, 12 ct","french,arabica,dark roast",4.6,1893,0.0
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,13.57755685687049
"maxwell house the original roast decaf medium roast ground coffee, 29.3 oz canister",medium roast,4.7,353,11.232843727425957
"starbucks pike place roast, medium roast k-cup coffee pods, 100% arabica, 22 ct​","arabica,medium roast",4.6,2686,0.0
"maxwell house original roast ground coffee, 30.6 oz. canister",,4.5,752,9.060518731988472
"dunkin' original blend, medium roast coffee, 30-ounce canister",medium roast,4.8,870,21.069958847736626
"folgers classic decaf ground coffee, medium roast, 25.9-ounce",medium roast,4.5,64,16.668936402015525
"hills bros. high yield ground coffee, medium roast, 30.5 oz. can",medium roast,4.9,51,9.806869434485948
"seattle's best coffee breakfast blend medium roast ground coffee, 12 oz",medium roast,4.7,259,13.168724279835391
"the original donut shop regular keurig single-serve k-cup pods, medium roast coffee, 24 count",medium roast,4.4,2937,0.0
"starbucks iced espresso caramel macchiato premium iced coffee drink, 40 oz bottle","espresso,caramel,macchiato,iced coffee",4.5,122,4.656084656084657
"starbucks iced espresso vanilla latte premium iced coffee drink, 40 oz bottle","espresso,iced coffee,latte",3.5,53,4.656084656084657
"starbucks frappuccino mocha iced coffee, 9.5 oz, 4 pack bottles","mocha,iced coffee",4.6,211,27.775714816190124
"caf bustelo, espresso style dark roast coffee, keurig k-cup pods 24 ct.","espresso,dark roast",4.7,1245,21.92827748383304
"starbucks veranda blend, starbucks blonde roast k-cup coffee pods, 100% arabica, 22 ct​","blonde roast,arabica",4.6,1824,0.0
"french market medium-dark roast ground chicory &amp; coffee, 12 oz can","french,medium-dark roast,dark roast",4.8,206,17.754262198706645
"starbucks iced coffee premium coffee beverage, dark roast, 48 fl oz","iced coffee,dark roast",3.8,25,15.520282186948855
"maxwell house the original roast instant coffee, 12 oz jar",instant coffee,4.5,414,28.01293356848912
"starbucks caramel flavored coffee, k-cup coffee pods, naturally flavored, 22 ct","caramel flavored,caramel",4.4,851,25.204425204425203
starbucks frappuccino mocha iced coffee 13.7 oz glass bottle,"mocha,iced coffee",4.7,2788,8.444902162718847
"dunkin' 100% colombian medium roast ground coffee, 11 ounce bag (pack of 6)","colombian,medium roast",4.7,97,160.3271327774214
"community coffee coffee and chicory medium roast ground coffee, 12 oz, bag",medium roast,4.8,599,25.279247501469722
"starbucks unweetened premium iced coffee drink, 48 oz bottle",iced coffee,4.2,86,3.8800705467372136
"great value donut shop 100% arabica medium roast ground coffee pods, 48 ct","arabica,medium roast",4.7,1782,10.927395649617871
"nescaf clasico, dark roast instant coffee, 7 oz.","instant coffee,dark roast",4.7,588,4.644326866549089
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,12.183807439824944
"café bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,13.26278659611993
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,13.57755685687049
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,8.233048385758154
"the original donut shop decaf k-cup coffee pods, medium roast, 24 count for keurig brewers",medium roast,4.6,674,21.92827748383304
"death wish coffee, organic, fair-trade, dark roast single serve coffee pods, 18ct, box",dark roast,4.7,249,35.2145796590241
"dunkin french vanilla artificially flavored coffee, 22 k-cup pods",french,4.5,531,35.11659807956105
"folgers classic decaf ground coffee, medium roast, 25.9-ounce",medium roast,4.5,64,16.668936402015525
"dunkin' original blend k-cup pods, 22-count (packaging may vary)",,4.5,2323,28.7317620650954
"great value entertainment collection variety pack medium roast coffee pods, 56 ct",medium roast,4.6,419,10.657596371882088
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,14.632614611680971
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,16.10738255033557
"folgers 100% colombian coffee, medium roast, k-cup pods for keurig k-cup brewers, 24 count","colombian,medium roast",4.3,934,21.92827748383304
"mccafe premium roast coffee k-cup coffee pods, medium roast, 60 count for keurig brewers",medium roast,4.7,2738,17.60141093474427
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,14.632614611680971
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,16.10738255033557
"maxwell house original roast ground coffee k-cup pods, caffeinated, 24 ct - 8.3 oz box",,4.4,860,21.92827748383304
"green mountain coffee roasters dark magic coffee, keurig single-serve k-cup pods, dark roast, 24 count",dark roast,4.6,2266,21.92827748383304
"green mountain coffee roasters breakfast blend single-serve keurig k-cup pods, light roast coffee, 48 count",light roast,4.6,2789,19.635508524397412
"green mountain coffee roasters half caff coffee, keurig single-serve k-cup pods, medium roast, 24 count",medium roast,4.6,1387,21.92827748383304
"dunkin’ original blend coffee, medium roast coffee, 12 oz bag",medium roast,4.8,495,0.0
"folgers 100% colombian coffee, medium roast ground coffee, 33.7 ounce canister","colombian,medium roast",3.5,8,14.632614611680971
"folgers caramel drizzle flavored ground coffee, k-cup pods, 24-count",caramel,4.6,410,21.92827748383304
"dunkin' original blend k-cup pods for keurig k-cup brewers, medium roast coffee, 44-count (packaging may vary)",medium roast,4.5,2076,26.0381593714927
"dunkin decaf medium roast coffee, 22 k-cup pods for keurig coffee makers",medium roast,4.4,778,14.3658810325477
"green mountain coffee hazelnut flavored k-cup pods, light roast, 24 count for keurig brewers",light roast,4.3,683,21.92827748383304
"green mountain coffee roasters dark magic keurig single-serve k-cup pods, dark roast coffee, 48 count",dark roast,4.6,2516,19.635508524397412
"green mountain coffee decaf breakfast blend k-cup pods, light roast, 24 count for keurig brewers",light roast,4.6,1054,21.92827748383304
"starbucks espresso roast, ground coffee, dark roast, 18 oz","espresso,espresso roast,dark roast",4.6,1286,24.456202233980015
"dunkin' original blend, medium roast coffee, 30-ounce canister",medium roast,4.8,870,21.069958847736626
"folgers classic decaf ground coffee, medium roast, 25.9-ounce",medium roast,4.5,64,16.668936402015525
"starbucks cold brew coffee, signature black, multi-serve concentrate, 32 oz",cold brew coffee,4.5,251,9.898589065255733
"starbucks decaf house blend, medium roast k-cup coffee pods, 100% arabica, 22 ct","arabica,medium roast",4.6,799,25.204425204425203
"folgers vanilla biscotti flavored ground coffee, k-cup pods, 24-count",,4.5,1164,21.92827748383304
"great value extra caff medium-dark roast coffee pods, 12 ct","medium-dark roast,dark roast",4.7,299,12.6984126984127
"gevalia cappuccino k cup espresso coffee pods &amp; cappuccino froth packets, 12 ct box","espresso,cappuccino,espresso coffee",4.8,479,40.152851263962376
"starbucks doubleshot energy vanilla coffee energy drink, 15 oz can",,4.6,321,7.008466603951082
"maxwell house light roast breakfast blend coffee k-cup pods, 24 ct box",light roast,4.6,136,21.92827748383304
"maxwell house original roast ground coffee k-cups, 48 ct box",,4.4,860,19.635508524397412
"gevalia dark gold roast bold dark roast ground coffee, 12 oz. bag",dark roast,4.7,123,37.47795414462081
"starbucks sumatra, ground coffee, dark roast, 18 oz",dark roast,4.7,765,41.9557123260827
"seattle's best coffee 6th avenue bistro dark roast ground coffee, 12 oz",dark roast,4.7,308,19.34156378600823
"mccafe premium roast coffee k-cup coffee pods, medium roast, 48 count for keurig brewers",medium roast,4.7,2738,19.635508524397412
"seattle's best coffee toasted hazelnut flavored medium roast, ground coffee, 12 oz",medium roast,4.7,348,15.490887713109935
"folgers 100% colombian coffee, medium roast ground coffee, 33.7 ounce canister","colombian,medium roast",3.5,8,14.632614611680971
"folgers classic roast ground coffee, medium roast, 9.6-ounce","medium roast,classic roast",4.4,735,66.38501102130786
starbucks iced coffee premium coffee beverage unsweetened blonde roast 48 fl oz bottle,"iced coffee,blonde roast",4.6,33,19.397501836884643
"starbucks frappuccino mocha chilled coffee drink, 9.5 oz glass bottles, 12 count",mocha,3.4,24,77.90568139621242
"keurig famous favorites coffee variety pack, single serve k-cup pods, 24 count",,4.9,22,21.92827748383304
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,12.183807439824944
"café bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,13.26278659611993
